City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,sepolno krajenskie,53.452,17.5317,2.71,85,100,4.07,PL,1706642583
351,talara,-4.5772,-81.2719,32.42,55,0,6.17,PE,1706642584
352,saudarkrokur,65.7461,-19.6394,-3.22,91,100,4.46,IS,1706642584
353,alice springs,-23.7,133.8833,29.56,21,98,4.12,AU,1706642378
354,flying fish cove,-10.4217,105.6791,24.82,100,97,2.06,CX,1706642585
355,makarska,43.2969,17.0178,5.78,57,0,2.1,HR,1706642585
356,sengkang,-4.1279,120.0297,24.47,90,88,1.28,ID,1706642585
357,buala,-8.145,159.5921,24.88,91,100,5.11,SB,1706642585
358,ciudad lazaro cardenas,17.9583,-102.2,29.0,58,100,3.11,MX,1706642515
359,plettenberg bay,-34.0527,23.3716,20.14,88,100,2.31,ZA,1706642586
360,ust'-ilimsk,58.0006,102.6619,-34.2,100,8,1.34,RU,1706642586
361,taoudenni,22.6783,-3.9836,22.67,11,0,5.08,ML,1706642587
